slug,current_source,confidence,suggested_source,rationale
guru-dattatreya-mantra,Guru Charitra / Dattatreya Tantra,medium,Guru Charitra / Dattatreya Tantra,
guru-gita,Skanda Purana (Uttarakhanda),high,Skanda Purana (Uttarakhanda),OK
guru-graha-kavacham,Graha Stotra Sangraha,medium,Graha Stotra Sangraha,
guru-graha-stotra,Skanda Purana,high,Skanda Purana,OK
guru-paduka-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
guru-sahasranama,Skanda Purana,high,Skanda Purana,OK
guru-stotram,Guru Gita - Skanda Purana,high,Guru Gita - Skanda Purana,OK
guru-vandana,Guru Gita and Traditional Guru Stuti,medium,Guru Gita and Traditional Guru Stuti,
guruvar-vrat-katha,Skanda Purana,high,Skanda Purana,OK
hanumad-ramayanam,Traditional Ramayana Literature,medium,Traditional Ramayana Literature,
hanuman-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
hanuman-ashtak,Traditional - Tulsidas,medium,Traditional - Tulsidas,
hanuman-ashtottara-shatanamavali,Parasara Smriti / Hanuman tradition,medium,Parasara Smriti / Hanuman tradition,
hanuman-ashtottara-stotram,Parasara Samhita,medium,Parasara Samhita,
hanuman-bahuk,Tulsidas,medium,Tulsidas,
hanuman-chalisa,"Goswami Tulsidas · standalone composition in Awadhi, late 16th century",high,"Goswami Tulsidas · standalone composition in Awadhi, late 16th century","Hanuman Chalisa is a STANDALONE Tulsidas composition, NOT part of Ramcharitmanas. Corrected."
hanuman-dhyanam,Hanuman Chalisa Tradition / Valmiki Ramayana,high,Hanuman Chalisa Tradition / Valmiki Ramayana,OK for Ramayana stotras
hanuman-dwadash-nama,Parashara Smriti tradition,medium,Parashara Smriti tradition,
hanuman-gayatri,Hanuman tradition / Parasara Samhita,medium,Hanuman tradition / Parasara Samhita,
hanuman-hridayam,Hanuman Samhita,medium,Hanuman Samhita,
hanuman-kavacham,Sudarshana Samhita,medium,Sudarshana Samhita,
hanuman-langoolastra-stotram,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
hanuman-mangalashtakam,Hanuman tradition,medium,Hanuman tradition,
hanuman-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
hanuman-sahasranama,Valmiki Ramayana tradition,high,Valmiki Ramayana tradition,OK for Ramayana stotras
hanuman-stavan,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
hanuman-stuti-lanka-kanda,Valmiki Ramayana - Lanka Kanda,high,Valmiki Ramayana - Lanka Kanda,OK for Ramayana stotras
hanuman-stuti-parasara,Parasara Samhita,medium,Parasara Samhita,
hanuman-vadvanal-stotra,Traditional Tantric Hymn,medium,Traditional Tantric Hymn,
hare-krishna-mahamantra,Kali Santarana Upanishad (Krishna Yajurveda),high,Kali Santarana Upanishad (Krishna Yajurveda),OK Vedic
hari-nama-mala-stotram,Garuda Purana,medium,Garuda Purana,
hari-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
harivarasanam,Kambangudi Kulathur Srinivasa Iyer,medium,Kambangudi Kulathur Srinivasa Iyer,
hartalika-teej-vrat-katha,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
hastamalaka-stotram,Hastamalaka Stotram — Adi Shankaracharya,high,Hastamalaka Stotram — Adi Shankaracharya,OK for Shankara compositions
hayagriva-stotram,Vedanta Desika,medium,Vedanta Desika,
hiranyagarbha-suktam,Rigveda (10.121),high,Rigveda (10.121),OK Vedic
holika-dahan-katha,Bhagavata Purana,high,Bhagavata Purana,OK for Vaishnava stotras from SB
indra-ashtakam,Rig Veda / Puranic Tradition,medium,Rig Veda / Puranic Tradition,
indra-chalisa,Vedic Tradition (Rig Veda / Puranas),medium,Vedic Tradition (Rig Veda / Puranas),
indra-dwadash-nama,Rig Veda,medium,Rig Veda,
indra-gayatri,Rig Veda,medium,Rig Veda,
indra-kavacham,Rig Veda / Puranic Tradition,medium,Rig Veda / Puranic Tradition,
indra-stotram-vedic,Rig Veda,medium,Rig Veda,
indra-stuti,Rigveda / Vedic Literature,high,Rigveda / Vedic Literature,OK Vedic
indra-suktam,Rigveda (Mandala 1),high,Rigveda (Mandala 1),OK Vedic
ishavasya-upanishad,Shukla Yajurveda - Adhyaya 40,high,Shukla Yajurveda - Adhyaya 40,OK Vedic
jagadamba-stotram,Devi Purana,medium,Devi Purana,
jagannath-aarti,Traditional Aarti Sangrah - Jagannath Temple Puri,medium,Traditional Aarti Sangrah - Jagannath Temple Puri,
jagannath-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
jagannath-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
jagannath-gayatri,Skanda Purana,high,Skanda Purana,OK
jagannath-kavacham,Skanda Purana / Oriya Tradition,high,Skanda Purana / Oriya Tradition,OK
jagannath-mangala-stotram,Skanda Purana / Traditional,high,Skanda Purana / Traditional,OK
jagannath-pancharatnam,Skanda Purana,high,Skanda Purana,OK
jagannath-sahasranama,Skanda Purana / Oriya Tradition,high,Skanda Purana / Oriya Tradition,OK
jagannath-stotram,Skanda Purana - Purushottama Kshetra Mahatmya,high,Skanda Purana - Purushottama Kshetra Mahatmya,OK
jagannatha-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
janaki-mangal,Tulsidas - Janaki Mangal,medium,Tulsidas - Janaki Mangal,
janaki-stuti,Valmiki Ramayana,high,Valmiki Ramayana,OK for Ramayana stotras
janmashtami-vrat-katha,Bhagavata Purana,high,Bhagavata Purana,OK for Vaishnava stotras from SB
kaal-sarp-dosh-nivaran-stotram,Jyotish Shastra - Traditional,medium,Jyotish Shastra - Traditional,
kaalratri-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
kabir-dohe-key-verses,Kabir Granthavali,medium,Kabir Granthavali,
kaivalya-upanishad,Kaivalya Upanishad (Atharvaveda),high,Kaivalya Upanishad (Atharvaveda),OK Vedic
kalabhairav-ashtakam,Composed by Adi Shankaracharya,high,Composed by Adi Shankaracharya,OK for Shankara compositions
kalabhairava-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
kali-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
kali-ashtakam,Kalika Purana,medium,Kalika Purana,
kali-ashtottara-shatanamavali,Kalika Purana,medium,Kalika Purana,
kali-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
kali-gayatri,Kalika Purana,medium,Kalika Purana,
kali-hridayam,Bhairava Tantra,medium,Bhairava Tantra,
kali-kavacham,Bhairava Tantra,medium,Bhairava Tantra,
kali-sahasranama-v2,Mahakala Samhita,medium,Mahakala Samhita,
kali-sahasranama,Kalika Purana,medium,Kalika Purana,
kali-stotram,Tantra Shastra,medium,Tantra Shastra,
kalki-stotram,Kalki Purana,medium,Kalki Purana,
kamadeva-stotram,Puranic Compilation,medium,Puranic Compilation,
kamakhya-kavacham,Kalika Purana,medium,Kalika Purana,
kamakhya-stotram,Kalika Purana,medium,Kalika Purana,
kamakshi-stotram,Markandeya Purana,medium,Markandeya Purana,
kamala-kavacham,Shakta Pramoda,medium,Shakta Pramoda,
kamala-stotram,Tantrasara,medium,Tantrasara,
kanakadhara-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
kara-darshana-shloka,Vishnu Purana,high,Vishnu Purana,OK
karpura-gauram,Traditional Shaivite Aarti,medium,Traditional Shaivite Aarti,
kartikeya-ashtottara-shatanamavali,Skanda Purana,high,Skanda Purana,OK
kartikeya-dwadash-nama,Skanda Purana,high,Skanda Purana,OK
kartikeya-hridayam,Skanda Purana,high,Skanda Purana,OK
kartikeya-kavacham,Skanda Purana,high,Skanda Purana,OK
kartikeya-mangalashtakam,Skanda Purana,high,Skanda Purana,OK
kartikeya-pancharatnam,Skanda Purana,high,Skanda Purana,OK
kartikeya-sahasranama,Skanda Purana,high,Skanda Purana,OK
kartikeya-stotram,Skanda Purana,high,Skanda Purana,OK
karva-chauth-stotram,Karva Chauth Vrat Katha / Sanskrit-Hindi Compilation,medium,Karva Chauth Vrat Katha / Sanskrit-Hindi Compilation,
karva-chauth-vrat-katha,Hindu Vrat Katha Tradition (Puranic),medium,Hindu Vrat Katha Tradition (Puranic),
kashi-panchakam,Kashi Panchakam — Adi Shankaracharya,high,Kashi Panchakam — Adi Shankaracharya,OK for Shankara compositions
kashi-vishwanath-stotram,Skanda Purana - Kashi Khanda,high,Skanda Purana - Kashi Khanda,OK
kathopanishad-key-verses,Kathopanishad (Krishna Yajurveda),high,Kathopanishad (Krishna Yajurveda),OK Vedic
katyayani-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
kaupina-panchakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
kedarnath-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
kena-upanishad,Samaveda - Talavakara Brahmana,medium,Samaveda - Talavakara Brahmana,
ketu-dosh-nivaran-stotram,Graha Shanti Vidhi,medium,Graha Shanti Vidhi,
ketu-kavacham,Brahmanda Purana,medium,Brahmanda Purana,
ketu-sahasranama,Skanda Purana,high,Skanda Purana,OK
ketu-stotra,Skanda Purana,high,Skanda Purana,OK
ketu-stotram,Purana Tradition,medium,Purana Tradition,
khatu-shyam-aarti,Traditional Aarti Sangrah,medium,Classical Parasari tradition,Aarti collections often compilations with uncertain individual provenance
khatu-shyam-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
kilak-stotram,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
kodanda-rama-stotram,Agastya Samhita,medium,Agastya Samhita,
krishna-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
krishna-ashtakam,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
krishna-ashtottara-shatanamavali,Srimad Bhagavatam / Vishnu Purana,high,Srimad Bhagavatam / Vishnu Purana,OK
krishna-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
krishna-dhyanam,Bhagavata Purana / Gita Govinda,high,Bhagavata Purana / Gita Govinda,OK for Vaishnava stotras from SB
krishna-dwadash-nama,Bhagavata Purana / Narada tradition,high,Bhagavata Purana / Narada tradition,OK for Vaishnava stotras from SB
krishna-gayatri,Bhagavata Purana / Garga Samhita,high,Bhagavata Purana / Garga Samhita,OK for Vaishnava stotras from SB
krishna-gitavali-key-verses,Tulsidas - Krishna Gitavali,medium,Tulsidas - Krishna Gitavali,
krishna-hridayam,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
krishna-karnamrutam-key-verses,Krishna Karnamrutam (Bilvamangala Thakur),medium,Krishna Karnamrutam (Bilvamangala Thakur),
krishna-kavacham,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
krishna-lila-stuti,Bhagavata Purana (Compiled Stuti),high,Bhagavata Purana (Compiled Stuti),OK for Vaishnava stotras from SB
krishna-mangalashtakam,Bhagavata Purana tradition,high,Bhagavata Purana tradition,OK for Vaishnava stotras from SB
krishna-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
krishna-sahasranama,Mahabharata tradition,high,Mahabharata tradition,OK
krishna-stuti,Traditional Sanskrit Stotra,medium,Traditional Sanskrit Stotra,
kshamapana-stotram,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
kubera-ashtakam,Skanda Purana,high,Skanda Purana,OK
kubera-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
kubera-dwadash-nama,Vishnu Purana,high,Vishnu Purana,OK
kubera-gayatri,Kubera Tantra,medium,Kubera Tantra,
kubera-hridayam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
kubera-kavacham,Vishnu Dharmottara Purana,medium,Vishnu Dharmottara Purana,
kubera-lakshmi-stotram,Traditional Wealth Worship Literature,medium,Traditional Wealth Worship Literature,
kubera-mantra,Kubera Tantra,medium,Kubera Tantra,
kubera-pancharatnam,Vishnu Purana,high,Vishnu Purana,OK
kubera-sahasranama,Shiva Purana / Yaksha Tradition,high,Shiva Purana / Yaksha Tradition,OK for Shiva stotras from Shiva Purana
kubera-stotram,Vishnu Dharmottara Purana,medium,Vishnu Dharmottara Purana,
kumara-ashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
kunti-stuti,"Shrimad Bhagavata Purana, Canto 1, Chapter 8",high,"Shrimad Bhagavata Purana, Canto 1, Chapter 8",OK for Vaishnava stotras from SB
kurma-stotram,Kurma Purana,medium,Kurma Purana,
kushmanda-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
lakshmi-aarti,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
lakshmi-ashtakam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
lakshmi-ashtottara-shatanamavali,Sri Suktam / Lakshmi Tantra,medium,Sri Suktam / Lakshmi Tantra,
lakshmi-chalisa,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
lakshmi-dhyanam,Lakshmi Tantra / Pancharatra Agama,medium,Lakshmi Tantra / Pancharatra Agama,
lakshmi-dwadash-nama,Padma Purana,high,Padma Purana,OK
lakshmi-gayatri,Sri Sukta / Lakshmi Tantra,medium,Sri Sukta / Lakshmi Tantra,
lakshmi-hridayam,Atharva Veda (Khila Sukta tradition),medium,Atharva Veda (Khila Sukta tradition),
lakshmi-kavacham,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
lakshmi-mangalashtakam,Lakshmi Tantra,medium,Lakshmi Tantra,
lakshmi-narasimha-karavalamba-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
lakshmi-narasimha-pancharatnam,Lakshmi Narasimha Pancharatnam (Adi Shankaracharya),high,Lakshmi Narasimha Pancharatnam (Adi Shankaracharya),OK for Shankara compositions
lakshmi-narasimha-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
lakshmi-narayana-hridayam,Atharva Veda (Khila Sukta tradition),medium,Atharva Veda (Khila Sukta tradition),
lakshmi-narayana-stotram,Vaishnavite Traditional Literature,medium,Vaishnavite Traditional Literature,
lakshmi-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
lakshmi-sahasranama,Skanda Purana,high,Skanda Purana,OK
lakshmi-stotram,Vishnu Purana,high,Vishnu Purana,OK
lakshmi-stuti,Vishnu Purana (Indrakrita Stuti),high,Vishnu Purana (Indrakrita Stuti),OK
lalita-sahasranama,Brahmanda Purana (Lalitopakhyana),medium,Brahmanda Purana (Lalitopakhyana),
lalita-trishati,Brahmanda Purana (Lalitopakhyana),medium,Brahmanda Purana (Lalitopakhyana),
laxminarayan-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
lingashtakam,Traditional Sanskrit Hymn,medium,Traditional Sanskrit Hymn,
madhurashtakam,Shri Vallabhacharya,medium,Shri Vallabhacharya,
maha-ganapati-stotram,Tantric Tradition,medium,Tantric Tradition,
maha-ganesh-mantra,Various Tantric and Puranic Sources,medium,Various Tantric and Puranic Sources,
maha-shivratri-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
mahagauri-stotram,Traditional (Navdurga Stotras),medium,Traditional (Navdurga Stotras),
mahakal-ashtakam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
mahakal-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
mahakali-kavacham,Kalika Purana,medium,Kalika Purana,
mahakali-stotram,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
mahalakshmi-ashtakam,Padma Purana,high,Padma Purana,OK
mahamrityunjaya-mantra,Rigveda (7.59.12),high,Rigveda (7.59.12),OK Vedic
mahishasura-mardini-stotram-excerpt,Ramakrishna Kavi,medium,Ramakrishna Kavi,
mahishasura-mardini-stotram,Traditional (attributed to Adi Shankaracharya),high,Traditional (attributed to Adi Shankaracharya),OK for Shankara compositions
makar-sankranti-vrat-katha,Surya Purana,medium,Surya Purana,
mallikarjuna-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
mandukya-upanishad,Atharvaveda - Mandukya Upanishad,high,Atharvaveda - Mandukya Upanishad,OK Vedic
mangal-chandika-stotram,Devi Mahatmya / Markandeya Purana,medium,Devi Mahatmya / Markandeya Purana,
mangal-dosh-nivaran-stotram,Jyotish Shastra - Traditional,medium,Jyotish Shastra - Traditional,
mangal-graha-kavacham,Graha Stotra Sangraha,medium,Graha Stotra Sangraha,
mangal-kavacham,Brahmanda Purana,medium,Brahmanda Purana,
mangal-sahasranama,Skanda Purana,high,Skanda Purana,OK
mangal-stotra,Skanda Purana,high,Skanda Purana,OK
mangal-stotram,Purana Tradition,medium,Purana Tradition,
mangalvar-vrat-katha,Hanuman Purana,medium,Hanuman Purana,
manisha-panchakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
mantra-pushpam,Taittiriya Aranyaka,medium,Taittiriya Aranyaka,
mantra-pushpanjali,Yajurveda and Rigveda (Compilation),high,Yajurveda and Rigveda (Compilation),OK Vedic
manyu-suktam,Rigveda (10.83-84),high,Rigveda (10.83-84),OK Vedic
markandeya-stuti,Markandeya Purana / Shiva Purana,high,Markandeya Purana / Shiva Purana,OK for Shiva stotras from Shiva Purana
maruti-ashtakam,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
maruti-stotra,Samartha Ramdas Swami (Dasbodh tradition),medium,Samartha Ramdas Swami (Dasbodh tradition),
matangi-kavacham,Shakta Pramoda,medium,Shakta Pramoda,
matangi-stotram,Tantrasara,medium,Tantrasara,
matsya-stotram,Matsya Purana,medium,Matsya Purana,
medha-dakshinamurthy-stotram,Vedic Medha Suktam / Dakshinamurthy Tradition,medium,Vedic Medha Suktam / Dakshinamurthy Tradition,
medha-suktam,Taittiriya Aranyaka - Yajurveda,high,Taittiriya Aranyaka - Yajurveda,OK Vedic
meenakshi-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
meenakshi-stotram,Halasya Mahatmya,medium,Halasya Mahatmya,
meera-bhajan-key-verses,Sant Meerabai - Meera Padavali,medium,Sant Meerabai - Meera Padavali,
mehandipur-balaji-aarti,"Mehandipur Balaji Temple Tradition, Rajasthan",medium,"Mehandipur Balaji Temple Tradition, Rajasthan",
moksha-prapti-stotram,Shaiva Agama - Traditional,medium,Shaiva Agama - Traditional,
mrityunjaya-kavacham,Rudrayamala Tantra,medium,Rudrayamala Tantra,
mrityunjaya-stotram,Traditional Sanskrit Hymn (Shiva Purana tradition),high,Traditional Sanskrit Hymn (Shiva Purana tradition),OK for Shiva stotras from Shiva Purana
mukunda-mala-stotram,Kulashekhara Alwar,medium,Kulashekhara Alwar,
mundaka-upanishad-key-verses,Mundaka Upanishad (Atharvaveda),high,Mundaka Upanishad (Atharvaveda),OK Vedic
muralidhara-stotram,Bhagavata Purana Tradition,high,Bhagavata Purana Tradition,OK for Vaishnava stotras from SB
murugan-chalisa,Traditional Chalisa,medium,Traditional Chalisa,
nag-panchami-vrat-katha,Bhavishya Purana,medium,Bhavishya Purana,
naga-gayatri,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
naga-stotram,"Agni Purana, Garuda Purana",medium,"Agni Purana, Garuda Purana",
nageshwar-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
nama-ramayanam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
nandi-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
narada-bhakti-sutra-key-verses,Narada Bhakti Sutra,medium,Narada Bhakti Sutra,
narada-stuti,Shrimad Bhagavata Purana,high,Shrimad Bhagavata Purana,OK for Vaishnava stotras from SB
narasimha-aarti,Vaishnava Tradition,medium,Vaishnava Tradition,
narasimha-ashtakam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
narasimha-ashtottara-shatanamavali,Garuda Purana,medium,Garuda Purana,
narasimha-dwadash-nama,Narasimha Purana,medium,Narasimha Purana,
narasimha-gayatri-v2,Traditional,low,"Traditional, precise source uncertain",Generic placeholder
narasimha-gayatri,Narasimha Tapaniya Upanishad,medium,Narasimha Tapaniya Upanishad,
narasimha-hridayam,Ahirbudhnya Samhita,medium,Ahirbudhnya Samhita,
narasimha-kavacham,Brahmanda Purana (Prahlada-uktam),medium,Brahmanda Purana (Prahlada-uktam),
narasimha-mangalashtakam,Narasimha Purana,medium,Narasimha Purana,
narasimha-nakha-stuti,Madhvacharya - Narasimha Nakha Stuti,medium,Madhvacharya - Narasimha Nakha Stuti,
narasimha-panchamrita-stotram,Narasimha Purana,medium,Narasimha Purana,
narasimha-pancharatnam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
narasimha-sahasranama,Garuda Purana,medium,Garuda Purana,
narasimha-stotram,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
narasimha-stuti-prahlada,Srimad Bhagavata Purana,high,Srimad Bhagavata Purana,OK for Vaishnava stotras from SB
narayana-ashtakam,Traditional Vaishnavite Literature,medium,Traditional Vaishnavite Literature,
narayana-hridayam,Atharvana tradition / Bhargava Rishi,medium,Atharvana tradition / Bhargava Rishi,
narayana-jyotirmaya-stotram,"Upanishads (Isha, Katha, Mundaka) and Traditional Compilation",medium,"Upanishads (Isha, Katha, Mundaka) and Traditional Compilation",
narayana-kavacham,"Srimad Bhagavatam - Skanda 6, Chapter 8",medium,"Srimad Bhagavatam - Skanda 6, Chapter 8",
narayana-suktam,Yajurveda - Taittiriya Aranyaka,high,Yajurveda - Taittiriya Aranyaka,OK Vedic
narayana-upanishad,Atharva Veda,medium,Atharva Veda,
narmada-ashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
narmada-stotram,Purana Tradition,medium,Purana Tradition,
narsimha-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
nasadiya-suktam,Rigveda (10.129),high,Rigveda (10.129),OK Vedic
nataraja-stotram,Traditional Sanskrit Hymn (Chidambaram tradition),medium,Traditional Sanskrit Hymn (Chidambaram tradition),
naukari-prapti-stotram,Niti Shastra,medium,Niti Shastra,
nava-durga-dhyanam,Devi Bhagavatam / Markandeya Purana,medium,Devi Bhagavatam / Markandeya Purana,
navadurga-gayatri,Devi Purana,medium,Devi Purana,
navadurga-kavacham,Brahmanda Purana,medium,Brahmanda Purana,
navagraha-gayatri,Vedic Jyotish Parampara,medium,Vedic Jyotish Parampara,
navagraha-kavach,Vishnu Dharmottara Purana,medium,Vishnu Dharmottara Purana,
navagraha-kavacham,Purana Tradition,medium,Purana Tradition,
navagraha-mantra,Vedic Jyotish Shastra,medium,Vedic Jyotish Shastra,
navagraha-shanti-stotram,Vyasa,medium,Vyasa,
navagraha-stotra,Vyasa - Skanda Purana,high,Vyasa - Skanda Purana,OK
navagraha-stotram-brihaspati,Purana Tradition,medium,Purana Tradition,
navaratna-stotram,Jyotish Shastra / Garuda Purana,medium,Jyotish Shastra / Garuda Purana,
navarna-mantra-vidhana,Durga Saptashati (Markandeya Purana),medium,Durga Saptashati (Markandeya Purana),
navdurga-stotram,Devi Bhagavata Purana and Traditional Navratri Texts,high,Devi Bhagavata Purana and Traditional Navratri Texts,OK for Devi stotras
navratri-vrat-katha,Devi Bhagavata Purana,high,Devi Bhagavata Purana,OK for Devi stotras
neelakanthesha-stotram,Shiva Purana (Samudra Manthana Katha),high,Shiva Purana (Samudra Manthana Katha),OK for Shiva stotras from Shiva Purana
nirvana-shatakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
niti-shatakam,Niti Shatakam by Bhartrihari (5th Century),medium,Niti Shatakam by Bhartrihari (5th Century),
om-jai-jagdish-hare,Pandit Shardha Ram Phillauri,medium,Pandit Shardha Ram Phillauri,
omkareshwar-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
padmanabha-ashtakam,Vaishnavite Traditional Literature,medium,Vaishnavite Traditional Literature,
padmavathi-stotram,Tirumala Tradition,medium,Tirumala Tradition,
pancha-ratna-stotram,Shiva Pancharatna Stotram by Adi Shankaracharya,high,Shiva Pancharatna Stotram by Adi Shankaracharya,OK for Shankara compositions
pancha-suktam,Rig Veda / Yajur Veda / Taittiriya Samhita,medium,Rig Veda / Yajur Veda / Taittiriya Samhita,
panchamukhi-hanuman-kavach,Sudarshana Samhita,medium,Sudarshana Samhita,
panchamukhi-hanuman-kavacham,Parasara Samhita,medium,Parasara Samhita,
panchayatana-puja-stotram,Smarta Tradition / Adi Shankaracharya,high,Smarta Tradition / Adi Shankaracharya,OK for Shankara compositions
pandurangashtakam,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
parashurama-stotram,Brahmanda Purana,medium,Brahmanda Purana,
parvati-ashtakam,Shiva Purana / Parvati Stuti,high,Shiva Purana / Parvati Stuti,OK for Shiva stotras from Shiva Purana
parvati-ashtottara-shatanamavali,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
parvati-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
parvati-hridayam,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
parvati-kavacham,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
parvati-mangal,Parvati Mangal - Goswami Tulsidas,medium,Parvati Mangal - Goswami Tulsidas,
parvati-mangalashtakam,Traditional (Stotra Literature),medium,Traditional (Stotra Literature),
parvati-sahasranama,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
parvati-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
pashupatinath-stotram,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
pavamana-suktam,Rigveda (9th Mandala) and Taittiriya Aranyaka,high,Rigveda (9th Mandala) and Taittiriya Aranyaka,OK Vedic
pitru-dosh-nivaran-stotram,Garuda Purana - Traditional,medium,Garuda Purana - Traditional,
pradosh-vrat-katha,Shiva Purana,high,Shiva Purana,OK for Shiva stotras from Shiva Purana
pradosha-stotra,Skanda Purana,high,Skanda Purana,OK
prahlada-stuti,"Shrimad Bhagavata Purana, Canto 7, Chapter 9",high,"Shrimad Bhagavata Purana, Canto 7, Chapter 9",OK for Vaishnava stotras from SB
prarthana-shloka-sangraha,Various Scriptures,medium,Various Scriptures,
pratah-kaal-stotram,Vedic Tradition - Pratah Smarana,medium,Vedic Tradition - Pratah Smarana,
pratah-prarthana,Various Scriptures,medium,Various Scriptures,
pratah-smarana-stotram,Adi Shankaracharya,high,Adi Shankaracharya,OK for Shankara compositions
pratyangira-stotram,Atharva Veda tradition,medium,Atharva Veda tradition,
prithvi-suktam,"Atharva Veda (Kanda 12, Sukta 1)",medium,"Atharva Veda (Kanda 12, Sukta 1)",
purusha-suktam,"Rigveda - Mandala 10, Sukta 90",high,"Rigveda - Mandala 10, Sukta 90",OK Vedic
purushashtakam,"Vedas and Upanishads (Purusha Suktam, Katha, Shvetashvatara, Taittiriya)",medium,"Vedas and Upanishads (Purusha Suktam, Katha, Shvetashvatara, Taittiriya)",
radha-ashtakam,Padma Purana,high,Padma Purana,OK
radha-chalisa,Traditional Chalisa Sangrah,medium,Traditional Chalisa Sangrah,
radha-hridayam,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
radha-kavacham,Brahmavaivarta Purana,medium,Brahmavaivarta Purana,
radha-kripa-kataksha-stotram,Urdhvamnaya Tantra,medium,Urdhvamnaya Tantra,
